,,REPORTE COTIZACIONES,,,,01/01/2000 - 04/02/2023,,
Instrumento,Fecha,,Precio,Var %,Var Anual %,,TIR %,Mod. Duration (años)
AGRO,14/05/2020,,"12,30","-1,20","29,50",,,
AGRO,13/05/2020,,"12,45","0,00","0,32",,,
AGRO,13/05/2020,,"12,45","-3,49","29,90",,,
AGRO,12/05/2020,,"12,90","0,00","0,40",,,
AGRO,12/05/2020,,"12,90","0,00","37,30",,,
AGRO,11/05/2020,,"12,90","10,26","0,50",,,
AGRO,11/05/2020,,"13,00","11,11","38,30",,,
AGRO,08/05/2020,,"11,70","-1,68","21,90",,,
AGRO,08/05/2020,,"11,70","-1,68","0,20",,,
AGRO,07/05/2020,,"11,90","-2,06","0,30",,,
AGRO,07/05/2020,,"11,95","-1,65","25,80",,,
AGRO,06/05/2020,,"12,15","6,58","0,28",,,
AGRO,06/05/2020,,"12,10","6,14","28,80",,,
AGRO,05/05/2020,,"11,40","0,00","0,20",,,
AGRO,05/05/2020,,"11,40","6,05","18,20",,,
AGRO,04/05/2020,,"10,75","0,00","0,14",,,
AGRO,04/05/2020,,"10,75","-0,46","11,40",,,
AGRO,30/04/2020,,"10,80","0,00","0,20",,,
AGRO,30/04/2020,,"10,80","-0,92","10,80",,,
AGRO,30/04/2020,,"10,80","-0,92","0,10",,,
AGRO,29/04/2020,,"10,90","0,00","0,10",,,
AGRO,29/04/2020,,"10,75","-2,27","8,60",,,
AGRO,28/04/2020,,"11,00","0,00","1,00",,,
AGRO,28/04/2020,,"11,00","0,00","10,00",,,
AGRO,27/04/2020,,"11,00","9,45","0,00",,,
AGRO,27/04/2020,,"10,85","7,96","8,50",,,
AGRO,24/04/2020,,"10,05","0,50","-17,90",,,
AGRO,24/04/2020,,"10,05","0,50","-0,17",,,
AGRO,23/04/2020,,"10,00","0,00","0,00",,,
AGRO,23/04/2020,,"9,99","8,47","-14,90",,,
AGRO,22/04/2020,,"9,21","0,00","-0,26",,,
AGRO,22/04/2020,,"9,21","2,33","-27,40",,,
AGRO,21/04/2020,,"9,00","0,00","0,00",,,
AGRO,21/04/2020,,"9,00","1,69","-27,70",,,
AGRO,20/04/2020,,"8,85","0,00","-0,28",,,
AGRO,20/04/2020,,"8,82","-2,00","-29,10",,,
AGRO,17/04/2020,,"9,00","0,00","0,00",,,
AGRO,17/04/2020,,"9,00","1,58","-27,70",,,
AGRO,17/04/2020,,"9,00","1,58","0,00",,,
AGRO,16/04/2020,,"8,86","0,00","-0,27",,,
AGRO,16/04/2020,,"8,86","-1,66","-23,90",,,
AGRO,15/04/2020,,"9,01","0,00","-0,22",,,
AGRO,15/04/2020,,"9,01","-3,01","-21,60",,,
AGRO,14/04/2020,,"9,29","0,00","-0,19",,,
AGRO,14/04/2020,,"9,29","1,53","-17,70",,,
AGRO,13/04/2020,,"9,15","0,00","-0,16",,,
AGRO,13/04/2020,,"9,15","0,88","-19,00",,,
AGRO,08/04/2020,,"9,07","0,00","-0,17",,,
AGRO,08/04/2020,,"9,07","3,07","-0,24",,,
AGRO,08/04/2020,,"9,01","2,39","-23,90",,,
AGRO,07/04/2020,,"8,80","0,00","-0,20",,,
AGRO,07/04/2020,,"8,90","4,46","-25,20",,,
AGRO,06/04/2020,,"8,52","0,00","-0,28",,,
AGRO,06/04/2020,,"8,54","11,34","-28,20",,,
AGRO,03/04/2020,,"7,67","0,00","-0,35",,,
AGRO,03/04/2020,,"7,67","5,79","-40,00",,,
AGRO,03/04/2020,,"7,67","5,79","-0,40",,,
AGRO,02/04/2020,,"7,25","0,00","-0,43",,,
AGRO,02/04/2020,,"7,25","2,11","-42,90",,,
AGRO,01/04/2020,,"7,10","0,00","-0,40",,,
AGRO,01/04/2020,,"7,15","3,77","-43,70",,,
AGRO,30/03/2020,,"6,89","0,00","-0,45",,,
AGRO,30/03/2020,,"6,89","-0,14","-45,70",,,
AGRO,27/03/2020,,"6,90","0,00","-0,40",,,
AGRO,27/03/2020,,"6,90","-6,12","-0,40",,,
AGRO,27/03/2020,,"6,90","-6,12","-41,50",,,
AGRO,26/03/2020,,"7,35","0,00","-0,36",,,
AGRO,26/03/2020,,"7,35","0,55","-35,20",,,
AGRO,25/03/2020,,"7,31","0,00","-0,33",,,
AGRO,25/03/2020,,"7,31","4,43","-36,90",,,
AGRO,20/03/2020,,"7,00","0,00","0,00",,,
AGRO,20/03/2020,,"7,00","15,13","-41,60",,,
AGRO,20/03/2020,,"7,00","15,13","0,00",,,
AGRO,19/03/2020,,"6,08","0,00","-0,49",,,
AGRO,19/03/2020,,"6,08","10,55","-49,30",,,
AGRO,18/03/2020,,"5,65","-11,02","-53,60",,,
AGRO,18/03/2020,,"5,65","-11,02","-0,53",,,
AGRO,17/03/2020,,"6,35","0,00","-0,47",,,
AGRO,17/03/2020,,"6,38","-2,60","-47,90",,,
AGRO,16/03/2020,,"6,55","0,00","-0,46",,,
AGRO,16/03/2020,,"6,55","-9,41","-46,50",,,
AGRO,13/03/2020,,"7,23","0,00","-0,40",,,
AGRO,13/03/2020,,"7,23","-4,24","-0,39",,,
AGRO,13/03/2020,,"7,25","-3,97","-39,50",,,
AGRO,12/03/2020,,"7,55","0,00","-0,37",,,
AGRO,12/03/2020,,"7,55","-6,79","-38,30",,,
AGRO,11/03/2020,,"8,10","0,00","-0,30",,,
AGRO,11/03/2020,,"8,10","-5,81","-33,00",,,
AGRO,10/03/2020,,"8,60","0,00","-0,20",,,
AGRO,10/03/2020,,"8,75","5,68","-27,60",,,
AGRO,09/03/2020,,"8,28","0,00","-0,31",,,
AGRO,09/03/2020,,"8,28","-10,00","-31,50",,,
AGRO,06/03/2020,,"9,20","0,00","-0,20",,,
AGRO,06/03/2020,,"9,20","0,55","-24,80",,,
AGRO,06/03/2020,,"9,20","0,55","-0,20",,,
AGRO,05/03/2020,,"9,15","0,00","-0,24",,,
AGRO,05/03/2020,,"9,15","1,10","-24,30",,,
AGRO,04/03/2020,,"9,05","0,00","-0,25",,,
AGRO,04/03/2020,,"9,05","0,56","-25,20",,,
AGRO,03/03/2020,,"9,00","0,00","0,00",,,
AGRO,03/03/2020,,"9,00","-4,05","-25,60",,,
AGRO,02/03/2020,,"9,38","0,00","-0,22",,,
AGRO,02/03/2020,,"9,39","4,92","-22,30",,,
AGRO,28/02/2020,,"8,95","0,00","-0,26",,,
AGRO,28/02/2020,,"8,95","0,56","-30,80",,,
AGRO,28/02/2020,,"8,95","0,56","-0,30",,,
AGRO,27/02/2020,,"8,90","0,00","-0,30",,,
AGRO,27/02/2020,,"8,90","-4,30","-31,20",,,
AGRO,26/02/2020,,"9,30","0,00","-0,20",,,
AGRO,26/02/2020,,"9,30","-6,06","-30,00",,,
AGRO,21/02/2020,,"9,90","0,00","-0,20",,,
AGRO,21/02/2020,,"9,90","1,02","-29,00",,,
AGRO,21/02/2020,,"9,90","1,02","-0,20",,,
AGRO,20/02/2020,,"9,80","0,00","-0,20",,,
AGRO,20/02/2020,,"9,80","-3,45","-27,10",,,
AGRO,19/02/2020,,"10,15","0,00","2,39",,,
AGRO,19/02/2020,,"10,15","0,00","-25,00",,,
AGRO,18/02/2020,,"10,15","-2,40","-27,50",,,
AGRO,18/02/2020,,"10,15","-2,40","-0,27",,,
AGRO,17/02/2020,,"10,40","0,00","-0,20",,,
AGRO,17/02/2020,,"10,40","-0,48","-25,70",,,
AGRO,14/02/2020,,"10,45","0,00","-0,25",,,
AGRO,14/02/2020,,"10,45","1,95","-24,00",,,
AGRO,14/02/2020,,"10,45","1,95","-0,24",,,
AGRO,13/02/2020,,"10,25","0,00","-0,25",,,
AGRO,13/02/2020,,"10,20","-4,67","-26,30",,,
AGRO,12/02/2020,,"10,70","0,00","-0,20",,,
AGRO,12/02/2020,,"10,70","-0,47","-22,40",,,
AGRO,11/02/2020,,"10,75","0,00","-0,20",,,
AGRO,11/02/2020,,"10,75","-4,44","-17,30",,,
AGRO,10/02/2020,,"11,25","0,00","-0,13",,,
AGRO,10/02/2020,,"11,25","-0,88","-13,40",,,
AGRO,07/02/2020,,"11,35","0,00","-0,12",,,
AGRO,07/02/2020,,"11,35","-1,30","-9,90",,,
AGRO,07/02/2020,,"11,35","-1,30","-0,09",,,
AGRO,06/02/2020,,"11,50","0,00","0,00",,,
AGRO,06/02/2020,,"11,50","0,00","-12,80",,,
AGRO,05/02/2020,,"11,50","0,00","-0,10",,,
AGRO,05/02/2020,,"11,50","-1,29","-14,10",,,
AGRO,04/02/2020,,"11,65","0,00","-0,13",,,
AGRO,04/02/2020,,"11,65","-2,10","-12,00",,,
AGRO,03/02/2020,,"11,90","0,00","0,00",,,
AGRO,03/02/2020,,"11,90","0,85","-10,10",,,
AGRO,31/01/2020,,"11,80","0,00","0,00",,,
AGRO,31/01/2020,,"11,80","-2,07","-6,70",,,
AGRO,31/01/2020,,"11,80","-2,08","0,00",,,
AGRO,30/01/2020,,"12,05","0,00","-0,04",,,
AGRO,30/01/2020,,"12,05","2,55","-4,70",,,
AGRO,29/01/2020,,"11,75","-3,29","-0,04",,,
AGRO,29/01/2020,,"11,80","-2,88","-3,60",,,
AGRO,28/01/2020,,"12,15","8,00","-0,40",,,
AGRO,28/01/2020,,"12,15","8,00","0,00",,,
AGRO,27/01/2020,,"11,30","-1,31","-7,30",,,
AGRO,27/01/2020,,"11,25","-1,75","-0,07",,,
AGRO,24/01/2020,,"11,45","0,00","-0,06",,,
AGRO,24/01/2020,,"11,45","-4,18","-10,50",,,
AGRO,24/01/2020,,"11,45","-4,18","-0,10",,,
AGRO,23/01/2020,,"11,95","0,00","-0,06",,,
AGRO,23/01/2020,,"11,95","-1,65","-5,10",,,
AGRO,22/01/2020,,"12,15","0,00","-0,03",,,
AGRO,22/01/2020,,"12,15","-2,80","-3,90",,,
AGRO,21/01/2020,,"12,50","0,00","0,00",,,
AGRO,21/01/2020,,"12,50","-4,58","-3,40",,,
AGRO,20/01/2020,,"13,10","0,00","0,10",,,
AGRO,20/01/2020,,"13,10","1,95","1,20",,,
AGRO,17/01/2020,,"12,85","0,00","0,00",,,
AGRO,17/01/2020,,"12,85","-3,02","0,04",,,
AGRO,17/01/2020,,"12,90","-2,64","3,70",,,
AGRO,16/01/2020,,"13,25","0,00","0,07",,,
AGRO,16/01/2020,,"13,25","2,32","5,20",,,
AGRO,15/01/2020,,"12,95","0,00","0,04",,,
AGRO,14/01/2020,,"12,15","10,96","-5,40",,,
AGRO,13/01/2020,,"10,95","11,17","-14,70",,,
AGRO,10/01/2020,,"9,85","0,51","-23,00",,,
AGRO,09/01/2020,,"9,80","0,00","-23,10",,,
AGRO,08/01/2020,,"9,80","-1,01","-22,20",,,
AGRO,07/01/2020,,"9,90","0,51","-20,40",,,
AGRO,06/01/2020,,"9,85","2,07","-20,80",,,
AGRO,03/01/2020,,"9,65","-1,03","-19,50",,,
AGRO,02/01/2020,,"9,75","4,06","-21,00",,,
AGRO,30/12/2019,,"9,37","1,41","-24,10",,,
AGRO,27/12/2019,,"9,24","3,01","-23,00",,,
AGRO,26/12/2019,,"8,97","4,79","-21,60",,,
AGRO,23/12/2019,,"8,56","0,82","-25,20",,,
AGRO,20/12/2019,,"8,49","-0,12","-30,40",,,
AGRO,19/12/2019,,"8,50","-0,58","-30,60",,,
AGRO,18/12/2019,,"8,55","1,79","-29,30",,,
AGRO,17/12/2019,,"8,40","0,60","-31,70",,,
AGRO,16/12/2019,,"8,35","0,00","-32,10",,,
AGRO,13/12/2019,,"8,35","0,60","-36,90",,,
AGRO,12/12/2019,,"8,30","0,00","-38,20",,,
AGRO,11/12/2019,,"8,30","1,84","-37,30",,,
AGRO,10/12/2019,,"8,15","-1,21","-38,70",,,
AGRO,09/12/2019,,"8,25","-0,36","-37,90",,,
AGRO,06/12/2019,,"8,25","1,23","-39,10",,,
AGRO,05/12/2019,,"8,15","1,49","-39,40",,,
AGRO,04/12/2019,,"8,03","0,38","-40,50",,,
AGRO,03/12/2019,,"8,00","0,00","-42,00",,,
AGRO,02/12/2019,,"8,00","-2,44","-42,00",,,
AGRO,29/11/2019,,"8,20","-1,20","-38,30",,,
AGRO,28/11/2019,,"8,30","1,72","-36,30",,,
AGRO,27/11/2019,,"8,16","2,00","-37,20",,,
AGRO,26/11/2019,,"8,00","-1,96","-38,90",,,
AGRO,25/11/2019,,"8,16","-3,43","-37,70",,,
AGRO,22/11/2019,,"8,45","1,93","-38,30",,,
AGRO,21/11/2019,,"8,29","-0,36","-39,40",,,
AGRO,20/11/2019,,"8,32","2,72","-38,80",,,
AGRO,19/11/2019,,"8,10","1,25","-40,40",,,
AGRO,15/11/2019,,"8,00","3,23","-40,70",,,
AGRO,14/11/2019,,"7,75","0,52","-41,70",,,
AGRO,13/11/2019,,"7,71","-1,15","-42,00",,,
AGRO,12/11/2019,,"7,80","-2,50","-42,00",,,
AGRO,11/11/2019,,"8,00","-3,61","-40,50",,,
AGRO,08/11/2019,,"8,30","-2,58","-38,70",,,
AGRO,07/11/2019,,"8,52","-2,07","-38,40",,,
AGRO,06/11/2019,,"8,70","-0,23","-34,80",,,
AGRO,05/11/2019,,"8,72","-2,02","-34,10",,,
AGRO,04/11/2019,,"8,90","-1,11","-32,80",,,
AGRO,01/11/2019,,"9,00","1,01","-32,80",,,
AGRO,31/10/2019,,"8,91","7,35","-32,70",,,
AGRO,30/10/2019,,"8,30","7,79","-38,00",,,
AGRO,29/10/2019,,"7,70","6,06","-41,20",,,
AGRO,28/10/2019,,"7,26","1,54","-44,50",,,
AGRO,25/10/2019,,"7,15","-0,69","-47,60",,,
AGRO,24/10/2019,,"7,20","0,14","-46,20",,,
AGRO,23/10/2019,,"7,19","-4,13","-46,30",,,
AGRO,22/10/2019,,"7,50","-1,96","-43,60",,,
AGRO,21/10/2019,,"7,65","-0,65","-42,40",,,
AGRO,18/10/2019,,"7,70","-1,16","-42,50",,,
AGRO,17/10/2019,,"7,79","1,83","-43,10",,,
AGRO,16/10/2019,,"7,65","-2,55","-45,10",,,
AGRO,15/10/2019,,"7,85","-1,26","-43,70",,,
AGRO,11/10/2019,,"7,95","-2,45","-41,10",,,
AGRO,10/10/2019,,"8,15","1,75","-40,90",,,
AGRO,09/10/2019,,"8,01","-2,91","-43,10",,,
AGRO,08/10/2019,,"8,25","1,48","-42,90",,,
AGRO,07/10/2019,,"8,13","-3,44","-43,70",,,
AGRO,04/10/2019,,"8,42","3,31","-45,50",,,
AGRO,03/10/2019,,"8,15","1,24","-49,00",,,
AGRO,02/10/2019,,"8,05","0,62","-50,30",,,
AGRO,01/10/2019,,"8,00","2,96","-51,80",,,
AGRO,30/09/2019,,"7,77","0,91","-53,10",,,
AGRO,27/09/2019,,"7,70","-3,75","-53,40",,,
AGRO,26/09/2019,,"8,00","-2,44","-52,50",,,
AGRO,25/09/2019,,"8,20","2,37","-52,10",,,
AGRO,24/09/2019,,"8,01","-8,98","-51,10",,,
AGRO,23/09/2019,,"8,80","-1,12","-46,30",,,
AGRO,20/09/2019,,"8,90","-0,56","-47,30",,,
AGRO,19/09/2019,,"8,95","0,00","-42,90",,,
AGRO,18/09/2019,,"8,95","-1,54","-35,60",,,
AGRO,17/09/2019,,"9,09","6,32","-33,40",,,
AGRO,16/09/2019,,"8,55","1,42","-37,30",,,
AGRO,13/09/2019,,"8,43","1,44","-39,70",,,
AGRO,12/09/2019,,"8,31","3,88","-40,00",,,
AGRO,11/09/2019,,"8,00","3,23","-42,80",,,
AGRO,10/09/2019,,"7,75","3,75","-44,20",,,
AGRO,09/09/2019,,"7,47","2,19","-46,20",,,
AGRO,06/09/2019,,"7,31","0,83","-48,10",,,
AGRO,05/09/2019,,"7,25","8,37","-47,60",,,
AGRO,04/09/2019,,"6,69","1,36","-48,30",,,
AGRO,03/09/2019,,"6,60","-2,94","-50,50",,,
AGRO,02/09/2019,,"6,80","4,45","-49,00",,,
AGRO,30/08/2019,,"6,51","-3,41","-44,80",,,
AGRO,29/08/2019,,"6,74","-3,71","-37,50",,,
AGRO,28/08/2019,,"7,00","-4,76","-34,80",,,
AGRO,27/08/2019,,"7,35","-5,53","-34,90",,,
AGRO,26/08/2019,,"7,78","-1,39","-31,10",,,
AGRO,23/08/2019,,"7,89","-0,75","-37,80",,,
AGRO,22/08/2019,,"7,95","0,51","-39,30",,,
AGRO,21/08/2019,,"7,91","2,73","-41,40",,,
AGRO,20/08/2019,,"7,70","-1,91","-42,90",,,
AGRO,16/08/2019,,"7,85","-1,38","-42,20",,,
AGRO,15/08/2019,,"7,96","-0,50","-42,50",,,
AGRO,14/08/2019,,"8,00","-2,79","-40,20",,,
AGRO,13/08/2019,,"8,23","11,22","-37,10",,,
AGRO,12/08/2019,,"7,40","-32,42","-43,50",,,
AGRO,09/08/2019,,"10,95","-1,79","-25,50",,,
AGRO,08/08/2019,,"11,15","0,00","-23,30",,,
AGRO,07/08/2019,,"11,15","-0,45","-22,00",,,
AGRO,06/08/2019,,"11,20","2,75","-20,20",,,
AGRO,05/08/2019,,"10,90","-3,11","-22,40",,,
AGRO,02/08/2019,,"11,25","-0,88","-21,80",,,
AGRO,01/08/2019,,"11,35","0,44","-23,00",,,
AGRO,31/07/2019,,"11,30","0,89","-22,60",,,
AGRO,30/07/2019,,"11,20","0,90","-21,60",,,
AGRO,29/07/2019,,"11,10","-0,89","-22,30",,,
AGRO,26/07/2019,,"11,20","1,36","-22,20",,,
AGRO,25/07/2019,,"11,05","0,00","-26,80",,,
AGRO,24/07/2019,,"11,05","0,00","-23,50",,,
AGRO,23/07/2019,,"10,95","0,00","-21,20",,,
AGRO,22/07/2019,,"10,95","-3,10","-21,20",,,
AGRO,19/07/2019,,"11,30","-1,31","-17,80",,,
AGRO,18/07/2019,,"11,45","0,44","-18,20",,,
AGRO,17/07/2019,,"11,40","-2,98","-17,00",,,
AGRO,16/07/2019,,"11,75","-1,67","-12,60",,,
AGRO,15/07/2019,,"11,95","-4,78","-11,10",,,
AGRO,12/07/2019,,"12,55","0,80","-10,00",,,
AGRO,11/07/2019,,"12,45","-1,97","-13,20",,,
AGRO,10/07/2019,,"12,70","-0,78","-16,10",,,
AGRO,05/07/2019,,"12,80","-0,78","-12,30",,,
AGRO,04/07/2019,,"12,90","6,17","-8,80",,,
AGRO,03/07/2019,,"12,15","-0,41","-11,90",,,
AGRO,02/07/2019,,"12,20","-5,43","-6,80",,,
AGRO,01/07/2019,,"12,90","12,17","-1,50",,,
AGRO,28/06/2019,,"11,50","5,02","-28,10",,,
AGRO,27/06/2019,,"10,95","1,86","-32,80",,,
AGRO,26/06/2019,,"10,75","-1,83","-41,20",,,
AGRO,25/06/2019,,"10,95","-0,90","-39,80",,,
AGRO,24/06/2019,,"11,05","-0,90","-39,20",,,
AGRO,21/06/2019,,"11,15","-0,89","-42,50",,,
AGRO,19/06/2019,,"11,25","-0,88","-35,50",,,
AGRO,18/06/2019,,"11,35","1,79","-29,00",,,
AGRO,14/06/2019,,"11,15","4,21","-34,40",,,
AGRO,13/06/2019,,"10,70","0,47","-39,50",,,
AGRO,12/06/2019,,"10,65","-0,93","-44,30",,,
AGRO,11/06/2019,,"10,75","0,94","-41,40",,,
AGRO,10/06/2019,,"10,65","0,95","-41,90",,,
AGRO,07/06/2019,,"10,55","2,93","-33,20",,,
AGRO,06/06/2019,,"10,25","-2,84","-34,70",,,
AGRO,05/06/2019,,"10,55","2,43","-28,90",,,
AGRO,04/06/2019,,"10,30","-2,83","-25,80",,,
AGRO,03/06/2019,,"10,60","-0,93","-23,70",,,
AGRO,31/05/2019,,"10,70","-3,17","-24,60",,,
AGRO,30/05/2019,,"11,05","2,79","-18,70",,,
AGRO,29/05/2019,,"10,75","6,97","-18,80",,,
AGRO,28/05/2019,,"10,05","-2,43","-30,40",,,
AGRO,27/05/2019,,"10,30","7,29","-28,70",,,
AGRO,24/05/2019,,"9,60","2,67","-35,70",,,
AGRO,23/05/2019,,"9,35","0,86","-42,10",,,
AGRO,22/05/2019,,"9,27","0,22","-44,40",,,
AGRO,21/05/2019,,"9,25","0,54","-42,10",,,
AGRO,20/05/2019,,"9,20","-0,97","-42,50",,,
AGRO,17/05/2019,,"9,29","-0,96","-37,80",,,
AGRO,16/05/2019,,"9,38","-1,26","-35,50",,,
AGRO,15/05/2019,,"9,50","-0,94","-32,10",,,
AGRO,14/05/2019,,"9,59","2,02","-33,80",,,
AGRO,13/05/2019,,"9,40","-2,59","-35,10",,,
AGRO,10/05/2019,,"9,65","0,52","-34,70",,,
AGRO,09/05/2019,,"9,60","1,05","-24,40",,,
AGRO,08/05/2019,,"9,50","1,06","-18,40",,,
AGRO,07/05/2019,,"9,40","-2,59","-28,70",,,
AGRO,06/05/2019,,"9,65","-1,53","-26,80",,,
AGRO,03/05/2019,,"9,80","0,51","-33,30",,,
AGRO,02/05/2019,,"9,75","-1,52","-37,00",,,
AGRO,30/04/2019,,"9,90","-1,00","-36,10",,,
AGRO,29/04/2019,,"10,00","7,53","-35,40",,,
AGRO,26/04/2019,,"12,40","1,22","-16,70",,,
AGRO,25/04/2019,,"12,25","4,26","-19,40",,,
AGRO,24/04/2019,,"11,75","-7,48","-25,10",,,
AGRO,23/04/2019,,"12,70","2,01","-21,30",,,
AGRO,22/04/2019,,"12,45","6,87","-22,90",,,
AGRO,17/04/2019,,"11,65","1,30","-26,20",,,
AGRO,16/04/2019,,"11,50","1,77","-28,50",,,
AGRO,15/04/2019,,"11,30","-2,59","-29,80",,,
AGRO,12/04/2019,,"11,60","0,00","-31,70",,,
AGRO,11/04/2019,,"11,60","-2,93","-30,70",,,
AGRO,10/04/2019,,"11,95","0,84","-31,50",,,
AGRO,09/04/2019,,"11,85","-0,42","-31,10",,,
AGRO,08/04/2019,,"11,90","-2,86","-30,80",,,
AGRO,05/04/2019,,"12,25","-4,30","-22,40",,,
AGRO,04/04/2019,,"12,80","0,79","-15,50",,,
AGRO,03/04/2019,,"12,70","0,00","-19,80",,,
AGRO,01/04/2019,,"12,70","3,67","-19,80",,,
AGRO,29/03/2019,,"12,25","3,81","-22,70",,,
AGRO,28/03/2019,,"11,80","3,96","-26,20",,,
AGRO,27/03/2019,,"11,35","-2,16","-30,70",,,
AGRO,26/03/2019,,"11,60","0,87","-29,60",,,
AGRO,25/03/2019,,"11,50","-0,86","-30,30",,,
AGRO,22/03/2019,,"11,60","-3,33","-31,10",,,
AGRO,21/03/2019,,"12,00","0,00","-31,20",,,
AGRO,20/03/2019,,"12,00","-1,64","-31,80",,,
AGRO,19/03/2019,,"12,20","-0,41","-29,00",,,
AGRO,18/03/2019,,"12,25","0,82","-28,70",,,
AGRO,15/03/2019,,"12,15","1,25","-32,80",,,
AGRO,14/03/2019,,"12,00","-2,04","-35,40",,,
AGRO,13/03/2019,,"12,25","1,24","-36,60",,,
AGRO,12/03/2019,,"12,10","0,00","-33,10",,,
AGRO,11/03/2019,,"12,10","1,68","-33,10",,,
AGRO,08/03/2019,,"11,90","-2,86","-40,20",,,
AGRO,07/03/2019,,"12,25","1,24","-37,60",,,
AGRO,06/03/2019,,"12,10","-3,97","-37,90",,,
AGRO,01/03/2019,,"12,60","-2,70","-37,40",,,
AGRO,28/02/2019,,"12,95","0,00","-38,30",,,
AGRO,27/02/2019,,"12,95","-2,63","-39,20",,,
AGRO,26/02/2019,,"13,30","-1,12","-39,90",,,
AGRO,25/02/2019,,"13,45","-2,89","-39,20",,,
AGRO,22/02/2019,,"13,85","-0,72","-37,60",,,
AGRO,21/02/2019,,"13,95","3,72","-37,80",,,
AGRO,20/02/2019,,"13,45","-0,74","-39,40",,,
AGRO,19/02/2019,,"13,55","-3,21","-40,30",,,
AGRO,18/02/2019,,"14,00","2,19","-38,30",,,
AGRO,15/02/2019,,"13,70","-0,36","-39,20",,,
AGRO,14/02/2019,,"13,75","-0,72","-39,60",,,
AGRO,13/02/2019,,"13,85","0,36","-39,20",,,
AGRO,12/02/2019,,"13,80","6,15","-39,40",,,
AGRO,11/02/2019,,"13,00","1,96","-42,90",,,
AGRO,08/02/2019,,"12,75","1,19","-44,30",,,
AGRO,07/02/2019,,"12,60","-4,55","-45,20",,,
AGRO,06/02/2019,,"13,20","-1,49","-43,50",,,
AGRO,05/02/2019,,"13,40","1,13","-41,80",,,
AGRO,04/02/2019,,"13,25","5,16","-42,50",,,
AGRO,01/02/2019,,"12,60","-0,40","-50,50",,,
AGRO,31/01/2019,,"12,65","0,00","-51,90",,,
AGRO,30/01/2019,,"12,65","3,27","-50,10",,,
AGRO,29/01/2019,,"12,25","0,41","-52,10",,,
AGRO,28/01/2019,,"12,20","-2,79","-52,30",,,
AGRO,25/01/2019,,"12,55","-1,95","-50,50",,,
AGRO,24/01/2019,,"12,80","1,59","-50,10",,,
AGRO,23/01/2019,,"12,60","-0,40","-48,30",,,
AGRO,22/01/2019,,"12,65","-2,69","-46,90",,,
AGRO,21/01/2019,,"12,95","-1,14","-45,70",,,
AGRO,18/01/2019,,"13,10","5,22","-46,30",,,
AGRO,17/01/2019,,"12,45","-1,19","-45,80",,,
AGRO,16/01/2019,,"12,60","-1,95","-45,60",,,
AGRO,15/01/2019,,"12,85","0,00","-44,70",,,
AGRO,14/01/2019,,"12,85","-0,77","-44,70",,,
AGRO,11/01/2019,,"12,95","1,17","-43,90",,,
AGRO,10/01/2019,,"12,80","0,39","-46,10",,,
AGRO,09/01/2019,,"12,75","1,19","-46,60",,,
AGRO,08/01/2019,,"12,60","1,20","-48,90",,,
AGRO,07/01/2019,,"12,45","4,62","-49,50",,,
AGRO,04/01/2019,,"11,90","-0,83","-54,00",,,
AGRO,03/01/2019,,"12,00","-2,83","-52,50",,,
AGRO,02/01/2019,,"12,35","2,92","-50,10",,,
AGRO,28/12/2018,,"12,00","0,00","-47,80",,,
AGRO,27/12/2018,,"12,00","4,80","-46,40",,,
AGRO,26/12/2018,,"11,45","-2,55","-49,80",,,
AGRO,21/12/2018,,"11,75","-3,69","-47,00",,,
AGRO,20/12/2018,,"12,20","-0,41","-42,90",,,
AGRO,19/12/2018,,"12,25","1,24","-41,60",,,
AGRO,18/12/2018,,"12,10","-1,63","-43,10",,,
AGRO,17/12/2018,,"12,30","-6,46","-42,20",,,
AGRO,14/12/2018,,"13,15","-0,75","-40,30",,,
AGRO,13/12/2018,,"13,25","-1,49","-41,10",,,
AGRO,12/12/2018,,"13,45","1,51","-42,60",,,
AGRO,11/12/2018,,"13,25","-0,38","-44,50",,,
AGRO,10/12/2018,,"13,30","1,53","-44,30",,,
AGRO,07/12/2018,,"13,10","-3,32","-43,20",,,
AGRO,06/12/2018,,"13,55","0,74","-41,00",,,
AGRO,05/12/2018,,"13,45","-0,37","-43,90",,,
AGRO,04/12/2018,,"13,50","-2,17","-45,30",,,
AGRO,03/12/2018,,"13,80","3,76","-44,10",,,
AGRO,29/11/2018,,"13,30","1,92","-43,40",,,
AGRO,28/11/2018,,"13,05","0,38","-42,60",,,
AGRO,27/11/2018,,"13,00","-1,52","-43,90",,,
AGRO,26/11/2018,,"13,10","-2,24","-43,50",,,
AGRO,23/11/2018,,"13,40","-2,19","-42,70",,,
AGRO,22/11/2018,,"13,70","0,00","-41,40",,,
AGRO,21/11/2018,,"13,70","0,74","-43,80",,,
AGRO,20/11/2018,,"13,60","-4,23","-44,20",,,
AGRO,16/11/2018,,"14,20","5,19","-43,50",,,
AGRO,15/11/2018,,"13,50","1,50","-45,40",,,
AGRO,14/11/2018,,"13,30","0,00","-43,40",,,
AGRO,13/11/2018,,"13,30","-1,12","-47,00",,,
AGRO,12/11/2018,,"13,45","1,13","-46,40",,,
AGRO,09/11/2018,,"13,30","-1,84","-48,90",,,
AGRO,08/11/2018,,"13,55","-2,17","-48,80",,,
AGRO,07/11/2018,,"13,85","3,75","-48,70",,,
AGRO,06/11/2018,,"13,35","0,75","-50,50",,,
